Au seeds-chemos,,exp8,,exp9,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
829,0.0411752948532151,829,0.137759303494606,829,0.6910334533349
828,0.0412261848788267,828,0.136741068032884,828,0.69122530031761
827,0.0420679586966034,827,0.136254152195076,827,0.692007292732319
826,0.0428261098785056,826,0.13570465751753,826,0.693219903348942
825,0.0427828590157769,825,0.134792505407607,825,0.692971608269682
824,0.0434474091354345,824,0.134807405083503,824,0.693544580190166
823,0.043372258212029,823,0.134299797784481,823,0.693134206670379
822,0.043767153290127,822,0.134087650172998,822,0.693450416806178
821,0.0435780316127122,821,0.133182120597922,821,0.692239011157623
820,0.0443933852083353,820,0.133470483685802,820,0.692762050198154
819,0.0450780956521818,819,0.133198020444022,819,0.694760343129535
818,0.0449039605818035,818,0.131981325572914,818,0.69014120977211
817,0.04625364547529,817,0.132025737708039,817,0.69277592614633
816,0.0462663730804487,816,0.130925437927782,816,0.6897970790907
815,0.0474314042271641,815,0.130607356732962,815,0.688940978894443
814,0.0478378411172398,814,0.130841566130273,814,0.688645317290006
813,0.0474747162766366,813,0.128689472395092,813,0.687118663622156
812,0.0473314276366743,812,0.130308657243127,812,0.688171174599302
811,0.0475347539203805,811,0.129474819915556,811,0.686814548473151
810,0.0489978572345467,810,0.128818721182737,810,0.686257860293852
809,0.0489731400531335,809,0.128482726471333,809,0.681647868446875
808,0.0493587491663877,808,0.127382330760939,808,0.682583477771693
807,0.0501688541547842,807,0.127001770454114,807,0.680972789678639
806,0.0504433441285416,806,0.12744283340915,806,0.677583598768948
805,0.0514038540734948,805,0.126463678257755,805,0.676483214145546
804,0.0527264259659431,804,0.125263226242146,804,0.675327201022028
803,0.0524853956754314,803,0.125293830134474,803,0.672801027717698
802,0.0523428098706308,802,0.124654325707013,802,0.671643185075325
801,0.0531878801061248,801,0.125359155588472,801,0.665998608678323
800,0.0533406656903638,800,0.124376788066219,800,0.665738687259819
799,0.0547722772687275,799,0.124162230893968,799,0.659932908748377
798,0.0551318004439535,798,0.123218453358534,798,0.659758564496774
797,0.0545758668138391,797,0.122038959775355,797,0.655266919145733
796,0.055884948837536,796,0.123548402913699,796,0.653431065744678
795,0.0572724695920726,795,0.122658244241961,795,0.650384410163296
794,0.0571163756694752,794,0.122611381048587,794,0.64818122848651
793,0.0569963461274114,793,0.121919253269143,793,0.643053661970721
792,0.0575223779944382,792,0.121285584943586,792,0.641424947161276
791,0.0584877020524424,791,0.120804777344706,791,0.636978800678019
790,0.058798088529174,790,0.121297735171611,790,0.634195820668911
789,0.0593381490761989,789,0.120463035381085,789,0.629980766599933
788,0.0601410278709546,788,0.120343625801703,788,0.627085745833974
787,0.0607026771737268,787,0.119047570767368,787,0.622459632462022
786,0.061575344229958,786,0.118977672568352,786,0.617431518281944
785,0.0625256337427833,785,0.119752526636854,785,0.613479916477576
784,0.0626843422896093,784,0.119126811410033,784,0.610055173999552
783,0.0635315190983363,783,0.117786945209219,783,0.606497253154553
782,0.0641612738135566,782,0.118481252710071,782,0.602773865581347
781,0.0644628609934814,781,0.118228327490974,781,0.598190348793686
780,0.0643119961981674,780,0.118099134111999,780,0.593100060263072
779,0.0649519029698293,779,0.117308772389054,779,0.588457781063511
778,0.0655352849014326,778,0.117191481277276,778,0.583623230339347
777,0.0661078165640208,777,0.117783210625682,777,0.580488162619229
776,0.0661684966722213,776,0.117402587386306,776,0.574056581706723
775,0.0666668885855178,775,0.116757586326209,775,0.56965708491091
774,0.0683222289491387,774,0.117189650444237,774,0.564900116142041
773,0.0677426274542186,773,0.116591618571884,773,0.560548990466683
772,0.068710889625784,772,0.115998162112862,772,0.555164312012922
771,0.0688291359534801,771,0.116334444767229,771,0.551320644346152
770,0.0698605379849864,770,0.116330181257351,770,0.54541453671539
769,0.0704835286401676,769,0.116213323243802,769,0.540547089605966
768,0.0699051423508256,768,0.115703900168002,768,0.535659739379768
767,0.0709349303666172,767,0.115563734495316,767,0.530551755681874
766,0.0706139537554683,766,0.115576299925817,766,0.525462744178387
765,0.0711897782838859,765,0.115526344356672,765,0.520048966790164
764,0.0711433036557868,764,0.115455051938417,764,0.516675788559316
763,0.0717112509555302,763,0.115272467039844,763,0.510558982123901
762,0.0721754239334909,762,0.115759080218045,762,0.505573389171731
761,0.0731082321423241,761,0.114925234167714,761,0.500617491967434
760,0.0728195926478796,760,0.115623051924412,760,0.495841016338707
759,0.0728161335669584,759,0.115528674813251,759,0.489705971157215
758,0.0730732213957024,758,0.115098900254286,758,0.484779901645706
757,0.0728827180606999,757,0.115612545798454,757,0.479626280126542
756,0.0740295106901954,756,0.115002680393109,756,0.474402154234111
755,0.0738199631049718,755,0.115307978651106,755,0.47026001897748
754,0.0740752821174623,754,0.115345349993695,754,0.464611824307418
753,0.0738591151659797,753,0.115408453082507,753,0.460360441766257
752,0.0735631382503659,752,0.115638929831788,752,0.455452523800394
751,0.0738182449135503,751,0.115069782387667,751,0.450010605889286
750,0.0738439264474134,750,0.115762053989953,750,0.445678241900542
749,0.0743121057971943,749,0.116271240830497,749,0.440871356975813
748,0.0741668394464488,748,0.115621464165601,748,0.436748310429838
747,0.0743569854177794,747,0.116200265789501,747,0.431026190929487
746,0.0737503817890977,746,0.116251077055898,746,0.427543240907611
745,0.0745725090609606,745,0.115944371578136,745,0.421963611165867
744,0.0749419195683423,744,0.116030317902008,744,0.418169335124273
743,0.0749011318449904,743,0.116364290508378,743,0.414639071357076
742,0.0749722206209809,742,0.116841525612591,742,0.40978972230682
741,0.0747783611560227,741,0.116310420774,741,0.404522739994463
740,0.0754250193625395,740,0.116687784772088,740,0.401104609178038
739,0.0755746196183589,739,0.116890616272651,739,0.397228107078425
738,0.0756469279395108,738,0.116834140472432,738,0.392758059704023
737,0.0765389088212575,737,0.117482478386641,737,0.38945234936362
736,0.0768578693713974,736,0.117039175576166,736,0.384771764026787
735,0.0769219553586979,735,0.118025176139124,735,0.381922128583678
734,0.0772303120978044,734,0.117955068679545,734,0.378463247095855
733,0.0773061132729848,733,0.118384926587561,733,0.375079459770282
732,0.0777642635941948,732,0.118317106502289,732,0.371916040620058
731,0.0781572559475572,731,0.118648828785696,731,0.368050657187513
730,0.0783763485700737,730,0.118575185302337,730,0.364616861305736
729,0.0786155609743057,729,0.119433455996311,729,0.361875618265682
728,0.0792422376715736,728,0.119265713217569,728,0.359353587136189
727,0.0799220920199123,727,0.119800105596202,727,0.356367984906317
726,0.0803892728553657,726,0.119944852713819,726,0.35360531280704
725,0.0810675883442467,725,0.120570655090056,725,0.351305061860086
724,0.0816605437270512,724,0.121267445799094,724,0.348343410907137
723,0.0817437464857695,723,0.121007557416353,723,0.345838749823925
722,0.0823813403742489,722,0.121441236252755,722,0.344069794867055
721,0.0834084289355862,721,0.12194657169364,721,0.341366379677048
720,0.0836556397949638,720,0.122399032286419,720,0.339044265534426
719,0.0844739542143307,719,0.122966190802861,719,0.337201898371651
718,0.0850902228187627,718,0.123259296555691,718,0.335304199085012
717,0.0854710880759103,717,0.123924639319738,717,0.333408564403505
716,0.0867499157967967,716,0.124165400578631,716,0.331394228002209
715,0.0873199201715133,715,0.124794558442398,715,0.32981688001642
714,0.0878356274457919,714,0.125359708357664,714,0.328739148611972
713,0.0885254924103945,713,0.125631929011277,713,0.326886701114274
712,0.0892299974004119,712,0.126127181087587,712,0.324879456895703
